uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste,gtfp_level,gml_index,market_index,market_gov_relation,market_npoe_dev,market_product_dev,market_factor_dev,market_legal_env,ln_so2,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2
3100,1,Shanghai,2000,71538176,4880,2215.8,98,109,.024,.067000002,.12,.0070000002,.034000002,.029999999,6.2119999,.168,0,8.4929008,18.085741,-.46754447,-.47399458,-1.5025125,-1.7578163,-.29044652,-.96399641,-1.7872802,-1.7875015,.29636797,-1.8210794,-.15998088,-.34142604,,1609,,,,,.4540574,72446,32.68,11.009,1,1,5.3740001,7.3049998,5.224,5.4180002,4.9970002,4.7470002,3.5169041,0,-21,0,0,0,0,0,0,0,0
3101,1,Shanghai,2001,69645920,5348.1001,2413.8,165,202,.024,.068999998,.094999999,.011,.037,.029999999,6.25,.13600001,0,8.5844965,18.058935,-.45124996,-.45159754,-1.5025125,-1.673861,-.34155726,-.84272772,-1.5454221,-1.7875015,.30248857,-1.7446856,-.13143224,-.35842323,,1668.33,,,,,.45133787,68012,30.006001,50.251999,1.0320405,1.0320405,6.6589999,7.717,7.1009998,6.7789998,6.9489999,9.4689999,3.4341807,0,-20,0,0,0,0,0,0,0,0
3102,1,Shanghai,2002,80866288,5908.1001,2635.3,272,230,.025,.075999998,.101,.0099999998,.037999999,.035,5.533,.226,0,8.6840792,18.208307,-.4252274,-.44485435,-1.3800464,-1.3800172,-.32929069,-.87304491,-1.4648029,-1.3296096,.18700287,-1.4750526,-.21552977,-.36325976,,1712.97,,,,,.44604865,64857,32.492001,7.1020002,1.1097517,1.0752985,8.0649996,7.9759998,8.2779999,6.902,7.6989999,10.459,3.5113065,0,-19,0,0,0,0,0,0,0,0
3103,1,Shanghai,2003,92319352,6952.5,3239.6001,382,254,.024,.079000004,.116,.0089999996,.039999999,.037,4.8270001,.19400001,0,8.8468561,18.340765,-.39847526,-.43907446,-1.5025125,-1.2540838,-.29862425,-.9033621,-1.303564,-1.1464528,.073288955,-1.3763304,-.24833897,-.38620058,.29955724,1765.84,,,,,.4659619,61112,31.561001,6.665,1.3074027,1.1781039,8.8529997,9.0179996,8.8830004,7.533,8.3739996,10.355,3.4831152,0,-18,0,0,0,0,0,0,0,0
3104,1,Shanghai,2004,108254088,8309.4004,3872.2,451,354,.025,.083999999,.081,.013,.039999999,.039000001,4.3670001,.19,0,9.0251427,18.499992,-.38169438,-.41499162,-1.3800464,-1.0441954,-.3701793,-.78209335,-1.303564,-.96329606,-.00080228999,-1.2490535,-.24334203,-.44671434,.27748165,1834.98,,,,,.46600235,56359,35,7,1.3458877,1.0294361,9.4139996,9.7559996,9.3950005,8.6160002,8.9490004,10.276,3.583519,0,-17,0,0,0,0,0,0,0,0
3105,1,Shanghai,2005,115370448,9398.7998,4314.8999,689,474,.027000001,.082999997,.094999999,.015,.045000002,.039000001,3.9230001,.193,0,9.1483374,18.56366,-.32381245,-.38609222,-1.1351144,-1.0861732,-.34155726,-.72145903,-.90046668,-.96329606,-.072316445,-1.0881947,-.23760892,-.43621019,.26085868,1890.26,1684.03,.89089859,,,.45909053,51097,37.5,6.0999999,1.4071903,1.0455481,9.3070002,9.7959995,9.3290005,9.3100004,7.8249998,10.185,3.6506581,0,-16,0,0,0,0,0,0,0,0
3106,1,Shanghai,2006,124628480,10825.4,4929.2002,903,503,.028000001,.090999998,.077,.015,.045000002,.039000001,3.8139999,.211,0,9.2896509,18.640848,-.27176738,-.37910819,-1.0126485,-.75035155,-.37835702,-.72145903,-.90046668,-.96329606,-.089872874,-.96913815,-.25069353,-.4420388,.22671871,1964.11,1742.16,.88699716,,,.45533651,48336,37.400002,5.6999998,1.5162266,1.0774852,9.4099998,9.7950001,9.4619999,9.6669998,7.9380002,9.9580002,3.6480575,0,-15,0,0,0,0,0,0,0,0
3107,1,Shanghai,2007,127207432,13179.8,5677.5,1210,646,.034000002,.094999999,.072999999,.0089999996,.050999999,.043000001,3.0739999,.30000001,0,9.4864407,18.661329,-.19710456,-.34466973,-.27785265,-.58244067,-.38653475,-.9033621,-.41675046,-.59698254,-.20906313,-.47825721,-.41063502,-.40673324,.22415073,2063.5901,1830.41,.88700277,20.0373,.0091843531,.43077284,47569.531,36.442001,4.8759999,1.668285,1.1002873,9.4720001,9.8280001,9.4289999,9.783,8.3610001,10.107,3.6227932,0,-14,0,0,0,0,0,0,0,0
3108,1,Shanghai,2008,133276680,14877.1,6215.5,1433,944,.032000002,.098999999,.082000002,.012,.052999999,.046999998,2.9549999,.34400001,0,9.6075783,18.707937,-.14287065,-.27290288,-.52278459,-.41452986,-.36813486,-.81241053,-.25551158,-.23066932,-.22823021,-.36584499,-.36388636,-.38402617,.21872006,2140.6399,1896.61,.88600141,25.0758,.0096671591,.41778976,41871,29.799999,4.862,1.6787498,1.0062728,9.4219999,9.8549995,8.6029997,8.1339998,10.946,10.409,3.4275146,0,-13,0,0,0,0,0,0,0,0
3109,1,Shanghai,2009,149620544,16181.4,6184.7998,1731,1313,.030999999,.097999997,.068999998,.017999999,.048999999,.043000001,2.7060001,.109,0,9.691618,18.823612,-.070396654,-.18403722,-.6452508,-.45650762,-.39471248,-.63050753,-.57798928,-.59698254,-.26833609,-.63867122,-.16657721,-.4594959,.21026832,2210.28,1958.3101,.88600087,33.956501,.011358018,.3822166,41192.027,23.934999,4.4770002,1.6435641,.9790405,9.4510002,9.7469997,8.132,8.1339998,11.37,9.1059999,3.2162724,0,-12,0,0,0,0,0,0,0,0
