uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste
3100,1,Shanghai,2000,71538176,4880.0,2215.8,98,109,0.024,0.067000002,0.12,0.0070000002,0.034000002,0.029999999,6.2119999,0.168,0,8.4929008,18.085741,-0.46754447,-0.47399458,-1.5025125,-1.7578163,-0.29044652,-0.96399641,-1.7872802,-1.7875015,0.29636797,-1.8210794,-0.15998088,-0.34142604,,1609.0,,,,,0,-21,0,0,0,0,0,0,0,0,0.4540574,72446.0,32.68,11.009
3101,1,Shanghai,2001,69645920,5348.1001,2413.8,165,202,0.024,0.068999998,0.094999999,0.011,0.037,0.029999999,6.25,0.13600001,0,8.5844965,18.058935,-0.45124996,-0.45159754,-1.5025125,-1.673861,-0.34155726,-0.84272772,-1.5454221,-1.7875015,0.30248857,-1.7446856,-0.13143224,-0.35842323,,1668.33,,,,,0,-20,0,0,0,0,0,0,0,0,0.45133787,68012.0,30.006,50.252
3102,1,Shanghai,2002,80866288,5908.1001,2635.3,272,230,0.025,0.075999998,0.101,0.0099999998,0.037999999,0.035,5.533,0.226,0,8.6840792,18.208307,-0.4252274,-0.44485435,-1.3800464,-1.3800172,-0.32929069,-0.87304491,-1.4648029,-1.3296096,0.18700287,-1.4750526,-0.21552977,-0.36325976,,1712.97,,,,,0,-19,0,0,0,0,0,0,0,0,0.44604865,64857.0,32.492,7.102
3103,1,Shanghai,2003,92319352,6952.5,3239.6001,382,254,0.024,0.079000004,0.116,0.0089999996,0.039999999,0.037,4.8270001,0.19400001,0,8.8468561,18.340765,-0.39847526,-0.43907446,-1.5025125,-1.2540838,-0.29862425,-0.9033621,-1.303564,-1.1464528,0.073288955,-1.3763304,-0.24833897,-0.38620058,0.29955724,1765.84,,,,,0,-18,0,0,0,0,0,0,0,0,0.4659619,61112.0,31.561,6.665
3104,1,Shanghai,2004,108254088,8309.4004,3872.2,451,354,0.025,0.083999999,0.081,0.013,0.039999999,0.039000001,4.3670001,0.19,0,9.0251427,18.499992,-0.38169438,-0.41499162,-1.3800464,-1.0441954,-0.3701793,-0.78209335,-1.303564,-0.96329606,-0.00080228999,-1.2490535,-0.24334203,-0.44671434,0.27748165,1834.98,,,,,0,-17,0,0,0,0,0,0,0,0,0.46600235,56359.0,35.0,7.0
3105,1,Shanghai,2005,115370448,9398.7998,4314.8999,689,474,0.027000001,0.082999997,0.094999999,0.015,0.045000002,0.039000001,3.9230001,0.193,0,9.1483374,18.56366,-0.32381245,-0.38609222,-1.1351144,-1.0861732,-0.34155726,-0.72145903,-0.90046668,-0.96329606,-0.072316445,-1.0881947,-0.23760892,-0.43621019,0.26085868,1890.26,1684.03,0.89089859,,,0,-16,0,0,0,0,0,0,0,0,0.45909053,51097.0,37.5,6.1
3106,1,Shanghai,2006,124628480,10825.4,4929.2002,903,503,0.028000001,0.090999998,0.077,0.015,0.045000002,0.039000001,3.8139999,0.211,0,9.2896509,18.640848,-0.27176738,-0.37910819,-1.0126485,-0.75035155,-0.37835702,-0.72145903,-0.90046668,-0.96329606,-0.089872874,-0.96913815,-0.25069353,-0.4420388,0.22671871,1964.11,1742.16,0.88699716,,,0,-15,0,0,0,0,0,0,0,0,0.45533651,48336.0,37.4,5.7
3107,1,Shanghai,2007,127207432,13179.8,5677.5,1210,646,0.034000002,0.094999999,0.072999999,0.0089999996,0.050999999,0.043000001,3.0739999,0.30000001,0,9.4864407,18.661329,-0.19710456,-0.34466973,-0.27785265,-0.58244067,-0.38653475,-0.9033621,-0.41675046,-0.59698254,-0.20906313,-0.47825721,-0.41063502,-0.40673324,0.22415073,2063.5901,1830.41,0.88700277,20.0373,0.0091843531,0,-14,0,0,0,0,0,0,0,0,0.43077284,47569.531,36.442,4.876
3108,1,Shanghai,2008,133276680,14877.1,6215.5,1433,944,0.032000002,0.098999999,0.082000002,0.012,0.052999999,0.046999998,2.9549999,0.34400001,0,9.6075783,18.707937,-0.14287065,-0.27290288,-0.52278459,-0.41452986,-0.36813486,-0.81241053,-0.25551158,-0.23066932,-0.22823021,-0.36584499,-0.36388636,-0.38402617,0.21872006,2140.6399,1896.61,0.88600141,25.0758,0.0096671591,0,-13,0,0,0,0,0,0,0,0,0.41778976,41871.0,29.8,4.862
3109,1,Shanghai,2009,149620544,16181.4,6184.7998,1731,1313,0.030999999,0.097999997,0.068999998,0.017999999,0.048999999,0.043000001,2.7060001,0.109,0,9.691618,18.823612,-0.070396654,-0.18403722,-0.6452508,-0.45650762,-0.39471248,-0.63050753,-0.57798928,-0.59698254,-0.26833609,-0.63867122,-0.16657721,-0.4594959,0.21026832,2210.28,1958.3101,0.88600087,33.956501,0.011358018,0,-12,0,0,0,0,0,0,0,0,0.3822166,41192.029,23.935,4.477
